tax,voucher,ddlat,ddlon,source
Ragala_ucuquirana-branca,"Amaral, IL_3668",-6.137866,-57.673894,estimated
Ragala_ucuquirana-branca,"Aymard, G_8488",3.591483,-66.808186,estimated
Ragala_ucuquirana-branca,"Chaves, L_84",-4.097844,-63.147044,estimated
Ragala_ucuquirana-branca,"Coelho, L_5158",-2.963334,-59.922825,estimated
Ragala_ucuquirana-branca,"Cruz, J_353",-4.096456,-63.144709,estimated
Ragala_ucuquirana-branca,Equipe BR319_194,-3.673261,-60.30796,estimated
Ragala_ucuquirana-branca,Equipe BR319_262,-5.004,-61.541162,estimated
Ragala_ucuquirana-branca,Equipe BR319_387,-5.247211,-61.951499,estimated
Ragala_ucuquirana-branca,Equipe BR319_400,-5.9335,-62.52153,estimated
Ragala_ucuquirana-branca,Equipe Fito_ 1101-565,-2.427492,-59.850792,original
Ragala_ucuquirana-branca,Equipe Fito_ 1102-201,-2.425711,-59.846866,original
Ragala_ucuquirana-branca,Equipe Fito_ 1103-528,-2.423263,-59.845867,original
Ragala_ucuquirana-branca,Equipe Fito_ 1201-736,-2.423371,-59.851751,original
Ragala_ucuquirana-branca,Equipe Fito_ 1201-92840,-2.42357,-59.852207,original
Ragala_ucuquirana-branca,Equipe Fito_ 1301-4250,-2.388579,-59.852981,original
Ragala_ucuquirana-branca,Equipe Fito_ 1301-4365,-2.388783,-59.853119,original
Ragala_ucuquirana-branca,Equipe Fito_ 1301-5611,-2.38971,-59.854774,original
Ragala_ucuquirana-branca,Equipe Fito_ 1301-6940,-2.388183,-59.848245,original
Ragala_ucuquirana-branca,Equipe Fito_ 1302-3854,-2.427059,-59.802386,original
Ragala_ucuquirana-branca,Equipe Fito_ 1302-4547,-2.427341,-59.800062,original
Ragala_ucuquirana-branca,Equipe Fito_ 2107-525,-2.336896,-60.101073,original
Ragala_ucuquirana-branca,Equipe Fito_ 2107-72724,-2.336882,-60.100739,original
Ragala_ucuquirana-branca,Equipe Fito_ 2107-72758,-2.336941,-60.10073,original
Ragala_ucuquirana-branca,Equipe Fito_ 2108-13,-2.33702,-60.108026,original
Ragala_ucuquirana-branca,Equipe Fito_ 2206-1906,-2.335812,-60.113926,original
Ragala_ucuquirana-branca,Equipe Fito_ 2206-1992,-2.335861,-60.114327,original
Ragala_ucuquirana-branca,Equipe Fito_ 2206-2293,-2.337763,-60.112722,original
Ragala_ucuquirana-branca,Equipe Fito_ 2206-2605,-2.337474,-60.113,original
Ragala_ucuquirana-branca,Equipe Fito_ 2206-3470,-2.334847,-60.113957,original
Ragala_ucuquirana-branca,Equipe Fito_ 2206-3680,-2.337823,-60.112552,original
Ragala_ucuquirana-branca,Equipe Fito_ 2206-500,-2.335228,-60.111797,original
Ragala_ucuquirana-branca,Equipe Fito_ 2206-575,-2.335337,-60.112028,original
Ragala_ucuquirana-branca,Equipe Fito_ 2303-3295,-2.343881,-60.094405,original
